Genre,Title,Artist
Tango,Abandono,"Pedro Láurenz"
Tango,"Adiós, Pampa mía",Enrique Carmelo Alessio
Vals,Ahora tengo un amor,Enrique Carmelo Alessio
Tango,Así se baila el tango,Enrique Carmelo Alessio
Milonga,El aguatero porteño,Enrique Carmelo Alessio
Tango,Esta noche me emborracho,Enrique Carmelo Alessio
Tango,Ninguna,Enrique Carmelo Alessio
Tango,Que te digan los muchachos,Enrique Carmelo Alessio
Tango,Se lustra señor?,Enrique Carmelo Alessio
Tango,Tu pálido final,Enrique Carmelo Alessio
Tango,Viento en contra,Enrique Carmelo Alessio
Vals,Violetas,Enrique Carmelo Alessio
Tango,Yo también carrero fui,Enrique Carmelo Alessio
Tango,Amigos del 900,Oscar Alonso
Vals,Flor de lino,Oscar Alonso
Tango,Maria,Oscar Alonso
Tango,Que Te Digan Los Muchachos,Oscar Alonso
Tango,La cumparsita,Ases del Tango
Tango,"Araca, corazón",Alfredo Attadía
Milonga,Así canto Martin Fierro,Alfredo Attadía
Milonga,Bettinoti,Alfredo Attadía
Tango,Caído del cielo,Alfredo Attadía
Tango,Color de rosa,Alfredo Attadía
Tango,Corrientes angosta,Alfredo Attadía
Tango,Cualquier cosa,Alfredo Attadía
Vals,Dejame quererte,Alfredo Attadía
Tango,Desdén,Alfredo Attadía
Tango,El cisne,Alfredo Attadía
Tango,El negro Pintos,Alfredo Attadía
Tango,El pensamiento,Alfredo Attadía
Tango,El Yacaré,Alfredo Attadía
Tango,Gallo ciego,Alfredo Attadía
Tango,A José Razzano,Alfredo Attadía
Tango,Las cuarenta,Alfredo Attadía
Milonga,Las cuerdas de mi guitarra,Alfredo Attadía
Milonga,Milonga para Gardel,Alfredo Attadía
Tango,Para el que guste bailar,Alfredo Attadía
Vals,Recuerdos de una madre,Alfredo Attadía
Tango,Senda florida,Alfredo Attadía
Tango,Señor,Alfredo Attadía
Vals,Tu diagnóstico,Alfredo Attadía
Tango,Tus besos fueron míos,Alfredo Attadía
Tango,Amarras,Emilio Balcarce
Tango,Anclao en París,Emilio Balcarce
Tango,Barrio pobre,Emilio Balcarce
Tango,Buzón,Emilio Balcarce
Milonga,Café,Emilio Balcarce
Tango,Corbatita voladora,Emilio Balcarce
Tango,El carrerito,Emilio Balcarce
Tango,Juan Tango,Emilio Balcarce
Vals,La pulpera de Santa Lucía,Emilio Balcarce
Tango,La que murió en París,Emilio Balcarce
Tango,Lecherito del abasto,Emilio Balcarce
Vals,Los cien barrios porteños,Emilio Balcarce
Vals,Luna de arrabal,Emilio Balcarce
Tango,Nubes de humo | Fume compadre,Emilio Balcarce
Tango,Otra noche,Emilio Balcarce
Tango,Pincelada,Emilio Balcarce
Tango,Se pasó tu cuarto de hora,Emilio Balcarce
Milonga,Vestido punzó,Emilio Balcarce
Tango,Y al final en el café,Emilio Balcarce
Tango,Y sonó el despertador,Emilio Balcarce
Tango,Yo llevo un tango en el alma,Emilio Balcarce
Tango,Adiós Pampa mía,Rodolfo Biagi
Tango,Adiós te vas,Rodolfo Biagi
Vals,Adoración,Rodolfo Biagi
Tango,Ahora no me conocés,Rodolfo Biagi
Tango,Alguien,Rodolfo Biagi
Tango,Alma de bohemio,Rodolfo Biagi
Tango,Amor de verano,Rodolfo Biagi
Tango,Amor mío,Rodolfo Biagi
Vals,Amor y vals,Rodolfo Biagi
Tango,Andrajos,Rodolfo Biagi
Tango,Anselmo Laguna,Rodolfo Biagi
Tango,Aquí en la tierra,Rodolfo Biagi
Tango,Arlette,Rodolfo Biagi
Vals,Aroma de amor,Rodolfo Biagi
Tango,Arriba Jara,Rodolfo Biagi
Tango,Ayúdame,Rodolfo Biagi
Tango,Bailarina de tango,Rodolfo Biagi
Tango,Bar Exposición,Rodolfo Biagi
Tango,Barrio reo,Rodolfo Biagi
Tango,Bélgica,Rodolfo Biagi
Tango,Café de Los Angelitos,Rodolfo Biagi
Tango,Calla corazón,Rodolfo Biagi
Tango,Callecita de mi barrio,Rodolfo Biagi
Tango,Camino del Tucumán,Rodolfo Biagi
Milonga,Campo afuera,Rodolfo Biagi
Tango,Canaro,Rodolfo Biagi
Tango,Canción para un cariño,Rodolfo Biagi
Milonga,Cantando se van las penas,Rodolfo Biagi
Tango,Caricias,Rodolfo Biagi
Tango,Carillón de La Merced,Rodolfo Biagi
Tango,Catorce primaveras,Rodolfo Biagi
Tango,Cicatrices,Rodolfo Biagi
Tango,Cielito mío,Rodolfo Biagi
Tango,Cielo,Rodolfo Biagi
Tango,Como el hornero,Rodolfo Biagi
Vals,Como en un cuento,Rodolfo Biagi
Milonga,Con mi perro,Rodolfo Biagi
Tango,Con un silbido en los labios,Rodolfo Biagi
Tango,"Copas, amigas y besos",Rodolfo Biagi
Tango,Cruz diablo,Rodolfo Biagi
Tango,Cuando llora la milonga,Rodolfo Biagi
Tango,Cuando se ha querido mucho,Rodolfo Biagi
Tango,Cuatro lágrimas,Rodolfo Biagi
Vals,Cuatro palabras,Rodolfo Biagi
Tango,Deja el mundo como está,Rodolfo Biagi
Vals,Dejame amarte aunque sea un día,Rodolfo Biagi
Vals,Dichas que viví,Rodolfo Biagi
Tango,Didí,Rodolfo Biagi
Tango,Duerme mi niña,Rodolfo Biagi
Tango,El carrerito,Rodolfo Biagi
Tango,El entrerriano,Rodolfo Biagi
Tango,El estribo,Rodolfo Biagi
Tango,El incendio,Rodolfo Biagi
Tango,El internado,Rodolfo Biagi
Tango,El irresistible,Rodolfo Biagi
Tango,El rápido,Rodolfo Biagi
Tango,El recodo,Rodolfo Biagi
Tango,El trece,Rodolfo Biagi
Vals,El último adiós,Rodolfo Biagi
Tango,El Yaguarón,Rodolfo Biagi
Tango,En el lago azul,Rodolfo Biagi
Tango,Equipaje,Rodolfo Biagi
Tango,Esperame en el cielo,Rodolfo Biagi
Tango,Esta noche me emborracho,Rodolfo Biagi
Tango,Estás llorando,Rodolfo Biagi
Tango,Estrella,Rodolfo Biagi
Tango,Gólgota,Rodolfo Biagi
Tango,Gracias,Rodolfo Biagi
Tango,Griseta,Rodolfo Biagi
Tango,Guapo y varón,Rodolfo Biagi
Tango,Hoy te quiero mucho más,Rodolfo Biagi
Tango,Humillación,Rodolfo Biagi
Tango,Indiferencia,Rodolfo Biagi
Tango,La chacarera,Rodolfo Biagi
Tango,La copa del olvido,Rodolfo Biagi
Tango,A la gran muñeca,Rodolfo Biagi
Tango,La huella,Rodolfo Biagi
Vals,La loca de amor,Rodolfo Biagi
Tango,A la luz del candil,Rodolfo Biagi
Tango,La maleva,Rodolfo Biagi
Tango,La marca de fuego,Rodolfo Biagi
Tango,La marcha nupcial,Rodolfo Biagi
Tango,La novena,Rodolfo Biagi
Tango,La tablada,Rodolfo Biagi
Tango,La viruta,Rodolfo Biagi
Vals,Lágrimas y sonrisas,Rodolfo Biagi
Vals,Lejos de ti,Rodolfo Biagi
Tango,Levanta tu corazón,Rodolfo Biagi
Tango,Lisón,Rodolfo Biagi
Tango,Lucienne,Rodolfo Biagi
Tango,Magdala,Rodolfo Biagi
Vals,Mañana por la mañana,Rodolfo Biagi
Tango,Marcas,Rodolfo Biagi
Vals,Marcheta,Rodolfo Biagi
Tango,Margot,Rodolfo Biagi
Tango,Mariposita,Rodolfo Biagi
Tango,Marol,Rodolfo Biagi
Tango,Matala,Rodolfo Biagi
Tango,Me quedé mirándola,Rodolfo Biagi
Tango,Mi alondra,Rodolfo Biagi
Tango,A mí no me interesa,Rodolfo Biagi
Tango,Mi pecadora,Rodolfo Biagi
Tango,Mi vida en tus manos,Rodolfo Biagi
Tango,Mientras duerme la ciudad,Rodolfo Biagi
Tango,Milonga con variación,Rodolfo Biagi
Tango,Mis amores de ayer,Rodolfo Biagi
Tango,Misa de once,Rodolfo Biagi
Tango,Nada,Rodolfo Biagi
