"id","title","channel_id","created_at","updated_at"
1,"030tango","UCtdgMR0bmogczrZNpPaO66Q","2020-12-12 18:00:28.737061","2020-12-12 18:00:28.737061"
2,"Armin Mar","UC9lGGipk4wth0rDyy4419aw","2020-12-12 18:00:29.432959","2020-12-12 18:00:29.432959"
3,"TangoNuevo TV","UCUKptFgKHVYM1GoQvgeDU_A","2020-12-12 18:00:29.722669","2020-12-12 18:00:29.722669"
4,"tangostudent","UC766M5toEZ70hZCLsaxXiOw","2020-12-12 18:00:29.895443","2020-12-12 18:00:29.895443"
5,"Tango Natural","UCOrxTg3siBOMD0XwoDKWC5A","2020-12-12 18:00:30.094339","2020-12-12 18:00:30.094339"
6,"TC Tango","UCPSEBKNWfeUQR22qpdYAIgg","2020-12-12 18:00:30.715498","2020-12-12 18:00:30.715498"
7,"Tango Element","UC47UVQSnunEsdxqqvgeG6YA","2020-12-12 18:00:31.16584","2020-12-12 18:00:31.16584"
8,"Prischepov TV","UCCoOxQMnmwZ-jhezbLfSUgQ","2020-12-12 18:00:31.927082","2020-12-12 18:00:31.927082"
9,"Mediterranean Summer Tango Festival","UCg-gK8tVf-evR-P976UlU9w","2020-12-12 18:00:32.132137","2020-12-12 18:00:32.132137"
10,"Tango Cazino","UC2EyGIesuSnNx5-Kohy1PGg","2020-12-12 18:00:32.394774","2020-12-12 18:00:32.394774"
11,"erdemsel1975","UCXB4G8j5M9UjUTtPPn-YC6Q","2020-12-12 18:00:32.591044","2020-12-12 18:00:32.591044"
12,"lodztangosalonfestival","UCS_7mPPJVCZLJUG5iMghpgA","2020-12-12 18:00:32.785842","2020-12-12 18:00:32.785842"
13,"Studio Tango Montréal","UCuP6Y6F9uDjh5-PKkggUY7w","2020-12-12 18:00:33.117713","2020-12-12 18:00:33.117713"
14,"Crazyfortango","UC2LyNJ-DMc3u7xN9ka-Bygg","2020-12-12 18:00:33.27231","2020-12-12 18:00:33.27231"
15,"Pepa Palazon","UCV6aDwqqS7yTDsp0v_gUkPA","2020-12-12 18:00:33.445025","2020-12-12 18:00:33.445025"
16,"Armelle tango","UClmH-sr3jJH1i8tE6odtONQ","2020-12-12 18:00:34.615027","2020-12-12 18:00:34.615027"
17,"Paris Buenos Aires Tango","UCuOHtVVqipSeqEWTt5MjeKg","2020-12-12 18:00:34.772257","2020-12-12 18:00:34.772257"
18,"Sultans of Istanbul Tango Marathon & Festival","UCRrVjNh5Rf2i2UQC8LPT1Wg","2020-12-12 18:00:34.93902","2020-12-12 18:00:34.93902"
19,"ladybrucomela vaghestelle","UCAyDBcBGtolH4P4LBjj_pow","2020-12-12 18:00:35.11782","2020-12-12 18:00:35.11782"
20,"istanbulTANGO","UCgWHuLjpAcWGEpTSYiMj-FQ","2020-12-12 18:00:35.275313","2020-12-12 18:00:35.275313"
21,"Bucharest Tango Groove","UCUz8joyeQNPWbnfQWwiVZRQ","2020-12-12 18:00:35.428424","2020-12-12 18:00:35.428424"
22,"Ivan&Sara FERALTANGO","UCB1VB9Kzdl06PSgd6PZj3SA","2020-12-12 18:00:35.566255","2020-12-12 18:00:35.566255"
23,"Pippifromparis","UCy0ltvzc34Bt-0d7q_f6vkg","2020-12-12 18:00:35.723151","2020-12-12 18:00:35.723151"
24,"Planetango Club","UCv1MYiYRQbDsqVvHuX9PSJQ","2020-12-12 18:00:35.904837","2020-12-12 18:00:35.904837"
25,"Lompa TV","UC_vxKs5JZlSql7LrtdGYygQ","2020-12-12 18:00:36.049968","2020-12-12 18:00:36.049968"
26,"Paula Duarte Tango","UCUX_gPar_D-gLJsWJ55XlcQ","2020-12-12 18:00:36.194314","2020-12-12 18:00:36.194314"
27,"Horacio Fernandez","UC9ewAAEx9ybZRs32F-nmNxA","2020-12-12 18:00:36.353805","2020-12-12 18:00:36.353805"
28,"Marko Miljevic","UCFyWqbEkWPULVD70PguLmgQ","2020-12-12 18:00:36.506516","2020-12-12 18:00:36.506516"
29,"Henryk Gajewski","UCp5e5y69xiUdGSw-ANTkYcA","2020-12-12 18:00:36.664551","2020-12-12 18:00:36.664551"
30,"A Los Amigos Tango Festival","UCEGeTx5mPDinPl1ovVdEsjQ","2020-12-12 18:00:36.829094","2020-12-12 18:00:36.829094"
