DATE,ARTIST,TITLE,2nd ARTIST,STYLE,COMPOSER,AUTHOR,LAST_NAME_SEARCH,
1927-08-03,Adolfo CARABELLI,Japonesita,,FOXTROT,Antonio Bonavena,Antonio Bonavena,CARABELLI,
1927-11-02,Adolfo CARABELLI,El aeroplano,,VALS,Pedro Datta,,CARABELLI,
1931-00-00,Adolfo CARABELLI,Canta guitarra,Alberto Gómez,PASODOBLE,Angel Ortiz de Villajos,Mariano Bolaños Recio y Alfonso Jofre de Villegas,CARABELLI,
1931-09-04,Adolfo CARABELLI,Cantando,Alberto Gómez y Mercedes Simone,TANGO,Mercedes Simone,Mercedes Simone,CARABELLI,
1931-09-04,Adolfo CARABELLI,Mi refugio,Alberto Gómez,TANGO,Juan Carlos Cobián,Pedro Numa Córdoba,CARABELLI,
1931-09-07,Adolfo CARABELLI,Sinverguenza alabancioso,Mercedes Simone,RANCHERA,José Laina,Juan Bautista Abad Reyes,CARABELLI,
1931-10-02,Adolfo CARABELLI,Mentira,Carlos Lafuente,TANGO,Francisco Pracánico,Celedonio Flores,CARABELLI,
1931-10-02,Adolfo CARABELLI,Que salga el toro,,PASODOBLE,?,?,CARABELLI,
1931-11-02,Adolfo CARABELLI,Me vuelves loco,Alberto Gómez,FOXTROT,Walter Donaldson,Francisco Antonio Lío,CARABELLI,
1931-11-02,Adolfo CARABELLI,Por qué,Alberto Gómez,TANGO,Osvaldo Fresedo,Emilio Fresedo,CARABELLI,
1931-12-24,Adolfo CARABELLI,El cantar de los gitanos,Carlos Lafuente,PASODOBLE,Pascual De Luca,Pascual De Luca,CARABELLI,
1932-00-00,Adolfo CARABELLI,Carmencita la gitana,Alberto Gómez,PASODOBLE,?,?,CARABELLI,
1932-00-00,Adolfo CARABELLI,El pensamiento,Carlos Lafuente,TANGO,José Martínez,Francisco García Jiménez,CARABELLI,
1932-00-00,Adolfo CARABELLI,Jamás podré olvidarte,Alberto Gómez,VALS,Julio De Caro,Mario César Gomila,CARABELLI,
