DATE,ARTIST,TITLE,2nd ARTIST,STYLE,COMPOSER,AUTHOR,LAST_NAME_SEARCH,,,,
8/3/27,Adolfo CARABELLI,Japonesita,,FOXTROT,Antonio Bonavena,Antonio Bonavena,CARABELLI,,,,
11/2/27,Adolfo CARABELLI,El aeroplano,,VALS,Pedro Datta,,CARABELLI,,,,
1931-00-00,Adolfo CARABELLI,Canta guitarra,Alberto Gómez,PASODOBLE,Angel Ortiz de Villajos,Mariano Bolaños Recio y Alfonso Jofre de Villegas,CARABELLI,,,,
9/4/31,Adolfo CARABELLI,Cantando,Alberto Gómez y Mercedes Simone,TANGO,Mercedes Simone,Mercedes Simone,CARABELLI,,,,
9/4/31,Adolfo CARABELLI,Mi refugio,Alberto Gómez,TANGO,Juan Carlos Cobián,Pedro Numa Córdoba,CARABELLI,,,,
9/7/31,Adolfo CARABELLI,Sinverguenza alabancioso,Mercedes Simone,RANCHERA,José Laina,Juan Bautista Abad Reyes,CARABELLI,,,,
10/2/31,Adolfo CARABELLI,Mentira,Carlos Lafuente,TANGO,Francisco Pracánico,Celedonio Flores,CARABELLI,,,,
10/2/31,Adolfo CARABELLI,Que salga el toro,,PASODOBLE,?,?,CARABELLI,,,,
11/2/31,Adolfo CARABELLI,Me vuelves loco,Alberto Gómez,FOXTROT,Walter Donaldson,Francisco Antonio Lío,CARABELLI,,,,
11/2/31,Adolfo CARABELLI,Por qué,Alberto Gómez,TANGO,Osvaldo Fresedo,Emilio Fresedo,CARABELLI,,,,
12/24/31,Adolfo CARABELLI,El cantar de los gitanos,Carlos Lafuente,PASODOBLE,Pascual De Luca,Pascual De Luca,CARABELLI,,,,
1932-00-00,Adolfo CARABELLI,Carmencita la gitana,Alberto Gómez,PASODOBLE,?,?,CARABELLI,,,,
1932-00-00,Adolfo CARABELLI,El pensamiento,Carlos Lafuente,TANGO,José Martínez,Francisco García Jiménez,CARABELLI,,,,
1932-00-00,Adolfo CARABELLI,Jamás podré olvidarte,Alberto Gómez,VALS,Julio De Caro,Mario César Gomila,CARABELLI,,,,
1932-00-00,Adolfo CARABELLI,Milonga sentimental,Carlos Lafuente,MILONGA,Sebastián Piana,Homero Manzi,CARABELLI,,,,
1932-00-00,Adolfo CARABELLI,Paseandome con mi novia,,FOXTROT,?,?,CARABELLI,,,,
2/5/32,Adolfo CARABELLI,Tango del querer,Alberto Gómez y Augusto Vila,TANGO,Andrés Domenech,Ricardo Lleras,CARABELLI,,,,
3/18/32,Adolfo CARABELLI,Olvidao,Charlo,TANGO,Guillermo Barbieri,Enrique Cadícamo,CARABELLI,,,,
3/21/32,Adolfo CARABELLI,Clyde,Carlos Lafuente,VALS,Héctor Bates,Venancio Clauso,CARABELLI,,,,
5/6/32,Adolfo CARABELLI,Cuando miran tus ojos,Luis Díaz,VALS,José María Aguilar,Enrique Cadícamo,CARABELLI,,,,
5/6/32,Adolfo CARABELLI,Desconfianza,Luis Díaz,TANGO,Edgardo Donato,Manuel Romero,CARABELLI,,,,
5/20/32,Adolfo CARABELLI,Manon,Alberto Gómez,TANGO,Arturo De Bassi,Antonio Miguel Podestá,CARABELLI,,,,
5/24/32,Adolfo CARABELLI,El puñal sevillano,Alberto Gómez,PASODOBLE,?,?,CARABELLI,,,,
5/24/32,Adolfo CARABELLI,Por dónde andará,Alberto Gómez,TANGO,Salvador Merico,Atilio Supparo,CARABELLI,,,,
6/17/32,Adolfo CARABELLI,Inspiración,Alberto Gómez,TANGO,Peregrino Paulos,Luis Rubistein,CARABELLI,,,,
6/24/32,Adolfo CARABELLI,Felicia,,TANGO,Enrique Saborido,Carlos Mauricio Pacheco,CARABELLI,,,,
6/24/32,Adolfo CARABELLI,Rodriguez Peña,Alberto Gómez,TANGO,Vicente Greco,Juan Velich,CARABELLI,,,,
7/19/32,Adolfo CARABELLI,Castañuelas (2),Alberto Gómez,PASODOBLE,Alfredo Marengo y José Adolfo Zatzkin,Alfredo Marengo y José Adolfo Zatzkin,CARABELLI,,,,
7/19/32,Adolfo CARABELLI,Negra Consentida,Alberto Gómez,RUMBA,?,?,CARABELLI,,,,
7/26/32,Adolfo CARABELLI,La tucumanita,Alberto Gómez,RANCHERA,?,?,CARABELLI,,,,
7/26/32,Adolfo CARABELLI,Volvé,Mercedes Simone,TANGO,Edgardo Donato,Luis Bayón Herrera,CARABELLI,,,,
9/7/32,Adolfo CARABELLI,Hamacandose,,FOXTROT,?,?,CARABELLI,,,,
9/7/32,Adolfo CARABELLI,Sentado en un tanque,,FOXTROT,?,?,CARABELLI,,,,
9/9/32,Adolfo CARABELLI,Alma,Alberto Gómez,TANGO,Federico Scorticati,Juan Sarcione,CARABELLI,,,,
9/9/32,Adolfo CARABELLI,Loco,Alberto Gómez,TANGO,Niels Paulos,Luis Rubistein,CARABELLI,,,,
9/27/32,Adolfo CARABELLI,El trece,Alberto Gómez,TANGO,Albérico Spátola,Angel Gregorio Villoldo,CARABELLI,,,,
9/27/32,Adolfo CARABELLI,Ya vendra el día,Alberto Gómez,FOXTROT,?,?,CARABELLI,,,,
10/28/32,Adolfo CARABELLI,El Caburé,,TANGO,Arturo De Bassi,Roberto Lino Cayol,CARABELLI,,,,
10/28/32,Adolfo CARABELLI,La guiñada,,TANGO,Agustín Bardi,,CARABELLI,,,,
10/28/32,Adolfo CARABELLI,Ñatita,Alberto Gómez,VALS,?,?,CARABELLI,,,,
12/30/32,Adolfo CARABELLI,No le quiero mirar,Mercedes Simone y Carlos Lafuente,VALS,Pablo Rodríguez,Pablo Rodríguez,CARABELLI,,,,
12/30/32,Adolfo CARABELLI,Por qué te obstinas en amar a otro si hoy es lunes,,FOXTROT,?,?,CARABELLI,,,,
1933-00-00,Adolfo CARABELLI,Campanita del suburbio,Charlo,TANGO,Pedro Lloret,Jaime Lloret Reos,CARABELLI,,,,
1933-00-00,Adolfo CARABELLI,Capullito de aleli,Carlos Lafuente,FOXTROT,?,?,CARABELLI,,,,
1933-00-00,Adolfo CARABELLI,Cuando canta mi guitarra,Carlos Lafuente,PASODOBLE,?,?,CARABELLI,,,,
