"id","created_at","updated_at","title","youtube_id","leader_id","follower_id","description","duration","upload_date","view_count","tags","song_id","youtube_song","youtube_artist","acrid","spotify_album_id","spotify_album_name","spotify_artist_id","spotify_artist_id_2","spotify_artist_name","spotify_artist_name_2","spotify_track_id","spotify_track_name","youtube_song_id","isrc","acr_response_code","channel_id","scanned_song","hidden","hd","popularity","like_count","dislike_count","favorite_count","comment_count","event_id","scanned_youtube_music","click_count","spotify_artist_id_1","spotify_artist_name_1","acr_cloud_artist_name","acr_cloud_artist_name_1","acr_cloud_album_name","acr_cloud_track_name"
1,"2021-03-09 18:46:04.884721","2021-03-10 09:15:04.430525","Antigoni Poulou and Armin Marschall - ""Coqueta"" (Orquesta Tipica Victor) 1/3","M50x-wkXZHI",117,,"+ Improvisation at Milonga Popular, Berlin, in February 2020",170,"2020-03-03",199,"[]",,"Coqueta","Orquesta Típica Victor",,"6oxSEtdG4NEm6EThYMr47p","6oxSEtdG4NEm6EThYMr47p","3a80F6pRMshHZW2jH8McTA",,"Orquesta Tipica Victor",,"47VDJPVoIjZXvg75VFnhtE","Coqueta","FCoKzWFsbZ4","DEBL61467595",0,2,FALSE,FALSE,TRUE,0,4,0,0,0,,FALSE,0,"47CI3rPwwFOaUBq5HO1WEl","Raúl Berón",,,,
2,"2021-03-09 18:46:04.886352","2021-03-10 09:15:04.037334","Antigoni Poulou and Armin Marschall - ""Ella es así"" (Donato)","s8olH-kdwzw",117,,"+ Improvisation at Milonga Popular, Berlin, in February 2020",169,"2020-03-03",69,"[]",3167,"Ella es asi","Orquesta Edgardo Donato, Horacio Lagos",,,,,,,,,,,"ARF039500445",0,2,FALSE,FALSE,TRUE,0,4,0,0,0,,FALSE,0,,,,,,
3,"2021-03-09 18:46:04.887326","2021-03-10 09:15:04.158108","Antigoni Poulou and Armin Marschall - ""Pasion"" (D'Arienzo) - 2/3","s9XsU3w7MtQ",117,,"+ Improvisation at Milonga Popular, Berlin, on February 2020",169,"2020-03-03",58,"[]",6735,"Pasión (Instrumental)","Orquesta Alfredo Juan D´ Arienzo",,,,,,,,,,,,1001,2,FALSE,FALSE,TRUE,0,1,0,0,0,,FALSE,0,,,,,,
4,"2021-03-09 18:46:05.311345","2021-03-09 19:36:11.674304","Louisa von Halle and Armin Marschall - ""Vals del Recuerdo"" by Quinteto Angel CTF 2019 2/2","xMuN6myb2eQ",117,,"Vals ""Vals del Recuerdo"" (Quinteto Angel) Dancers: Louisa von Halle and Armin Marschall Improvisation to a song which was randomly drawn out of the bands repertoire Video Artist: Fritz Tsai Video from the Contemporary Tango Festival @ Hauptbahnhof Berlin 2019",131,"2019-09-25",144,"[]",,,,,,,,,,,,,,,1001,2,FALSE,FALSE,TRUE,0,5,0,0,0,,FALSE,0,,,,,,
5,"2021-03-09 18:46:05.312662","2021-03-09 21:58:35.673324","Louisa von Halle and Armin Marschall - ""Yo te bendigo"" by Quinteto Angel CTF 2019 1/2","Iyl-PPdB4XU",117,,"Tango ""Yo te bendigo"" (Quinteto Angel) Dancers: Louisa von Halle and Armin Marschall Improvisation to a song which was randomly drawn out of the bands repertoire Video Artist: Fritz Tsai Video from the Contemporary Tango Festival @ Hauptbahnhof Berlin 2019",257,"2019-09-25",156,"[]",,,,,,,,,,,,,,,1001,2,FALSE,FALSE,TRUE,1,5,0,0,1,,FALSE,1,,,,,,
235,"2021-03-09 21:29:36.343035","2021-03-10 09:06:57.901877","Julio Balmaceda y Corina de la Rosa Ljubljana Festival","DVl0VSEDYDY",616,264,"Julio Balmaceda y Corina de la Rosa dance milonga on the 2nd international festival in Ljubljana. One of the wildest milonga interpretations that I have ever seen. Fantastic!",177,"2007-04-11",20611,"[""julio"", ""corina"", ""balmaceda"", ""rosa"", ""tango"", ""milonga"", ""dance"", ""ljubljana""]",,,,,,,,,,,,,,,1001,9,FALSE,FALSE,FALSE,0,35,5,0,4,,FALSE,0,,,,,,
236,"2021-03-09 21:30:48.285079","2021-03-10 09:15:06.911943","Carlitos Espinoza & Noelia Hurtado - Miedo - Tango exhibition by Sivis'Art","kIpy1KIFDf0",147,955,"www.summertango.com www.sivisart.com  Performance at Mediterranean Summer Tango Festival 2018.",216,"2018-08-04",7824,"[]",6825,"Miedo","Juan D'Arienzo y su Orquesta Típica",,,,,,,,,,,"FR26V2041632",0,9,FALSE,FALSE,TRUE,0,99,9,0,1,,FALSE,0,,,,,,
237,"2021-03-09 21:30:57.76389","2021-03-10 09:15:06.776449","Chicho Frumboli & Juana Sepulveda - Tristeza De Un Doble A - Astor Piazzolla - MSTF 2016","O9TDsQh2f6U",172,581,"Mediterranean Summer Tango Festival: A fantastic 6 days tango festival organized in a beautiful Mediterranean town of Poreč/Parenzo in Croatia.  www.summertango.com",433,"2016-07-13",1895,"[""chicho"", ""juana"", ""mstf"", ""tango"", ""porec""]",1291,"Tristeza de un Doble A","Astor Piazzolla, Astor Piazzolla Y Su Conjunto 9",,"5Hnw5vsVj7FobmVUN76AKg","Años de Soledad","7dsugSamBB7enWE2IrlbFg",,"Astor Piazzolla",,"4ezy4LMin6AMeo0yHb6vJa","Tristeza de un Doble 'A'",,"ITD541000190",0,9,FALSE,FALSE,TRUE,0,24,2,0,0,,FALSE,0,,,,,,
238,"2021-03-09 21:30:57.766167","2021-03-10 09:15:07.321778","Fausto Carpino & Stéphanie Fesneau - A una mujer - Tango exhibition by Sivis'Art","ElHojn_RnRc",378,1170,"www.summertango.com www.sivisart.com  Performance at Mediterranean Summer Tango Festival 2018.",174,"2018-07-09",8199,"[]",6807,"A Una Mujer","Juan D'Arienzo y su Orquesta Típica",,,,,,,,,,,"ARF034000014",0,9,FALSE,FALSE,TRUE,0,52,4,0,0,,FALSE,0,,,"Juan D'Arienzo y su Orquesta Típica",,"Serie 78 RPM : Juan D'Arienzo Vol.1","A Una Mujer"
239,"2021-03-09 21:30:57.767742","2021-03-10 09:15:08.381737","Chicho Frumboli & Juana Sepulveda - Milonga De Mis Amores - Juan D'Arienzo - MSTF 2016","aWL7unhnZs4",172,581,"Mediterranean Summer Tango Festival: A fantastic 6 days tango festival organized in a beautiful Mediterranean town of Poreč/Parenzo in Croatia.  www.summertango.com",151,"2016-07-13",10314,"[""chicho"", ""juana"", ""2016"", ""porec""]",7580,"Milonga de Mis Amores","Juan D'Arienzo y su Orquesta Típica",,,,,,,,,,,"USLIC0600200",0,9,FALSE,FALSE,TRUE,0,57,6,0,1,,FALSE,0,,,"Juan D'Arienzo","Su Orquesta Típica","The Tango Lesson - OST","Milonga de Mis Amores (Instrumental)"
240,"2021-03-09 21:30:58.152078","2021-03-10 09:07:06.696255","Chicho Frumboli & Juana Sepulveda - El yaguaron - MSTF 2019 #thebig10","q_CmDBFknLI",172,581,"www.summertango.com",167,"2019-08-01",2550,"[]",10418,,,,,,,,,,,,,"ARF049601243",0,9,FALSE,FALSE,TRUE,0,45,4,0,1,,FALSE,0,,,"Rodolfo Biagi Y Su Orquesta Tipica",,"From Argentina To The World","El Yaguaron"
241,"2021-03-09 21:30:58.153638","2021-03-10 09:15:08.656816","Fernando Sanchez & Arianda Naveira - El estagiario - MSTF 2019 - #thebig10","clZEpgV-lTs",395,,"www.summertango.com",234,"2019-07-29",3324,"[]",1440,"El estagiario","Orquesta Carlos di Sarli",,"2b26OkmdRb4nBvJz3BA3wP","A la gran muñeca (1950-1953)","0SReuqpYcrBvwQvHimLSpk",,"Orquesta de Carlos Di Sarli",,"68wfTXtRymQYUKz0D6CwIM","El estagiario",,"GBLLT1612309",0,9,FALSE,FALSE,TRUE,0,72,1,0,2,,FALSE,0,,,"Orquesta Carlos Di Sarli",,"A la gran muñeca (1950-1953)","El estagiario"
