title,location,date,event_type
TANGO VIP WORKSHOP IN LUBERON,"Cadenet, France","Saturday, 11 July 2020 - Saturday, 18 July 2020",Past Tango Weekend / Festivalito
canceled - Krakus Aires Secreto Marathon,"Kraków, Poland","Friday, 10 July 2020 - Sunday, 12 July 2020",Past Tango Marathon
DNIPRO Tango Weekend Alaturka 2020 edition,"Dnipropetrovs'k, Ukraine","Thursday, 09 July 2020 - Monday, 13 July 2020",Past Tango Weekend / Festivalito
"13th Intensive Summer School Beginner - intermediate, Zagreb","Zagreb, Croatia","Monday, 06 July 2020 - Saturday, 11 July 2020",Past Tango Seminar / Workshops
"13. ljetna skola tango argentino pocetni predsrednji, Zagreb","Zagreb, Croatia","Monday, 06 July 2020 - Saturday, 11 July 2020",Past Tango Seminar / Workshops
26TH TABOE TANGO CAMP,"Austerlitz, Netherlands","Sunday, 05 July 2020 - Saturday, 11 July 2020",Past Tango Festival
Tango seminar followers Zagreb,"Zagreb, Croatia","Saturday, 04 July 2020 - Sunday, 05 July 2020",Past Tango Seminar / Workshops
PIETRAGRANDE TANGO MARATHON 1 to 5 July 2020 - ITALY summer,"Caminia, Italy","Wednesday, 01 July 2020 - Sunday, 05 July 2020",Past Tango Marathon
De La Noche Festival 2cnd edtion,"Leiden, Netherlands","Friday, 26 June 2020 - Sunday, 28 June 2020",Past Tango Festival
Festival De la Noche 2020 with Live music,"Leiden, Netherlands","Friday, 26 June 2020 - Sunday, 28 June 2020",Past Tango Festival
Caras de Tango,"Turin, Italy","Thursday, 25 June 2020 - Monday, 29 June 2020",Past Tango Festival
"Sunny Tango Festival- Marathon,Crete Greece, 25-28 June 2020","Iraklio, Greece","Thursday, 25 June 2020 - Sunday, 28 June 2020",Past Tango Festival
Ithaca Tango Marathon 2020 - iTango,"Ithaca, United States","Thursday, 25 June 2020 - Monday, 29 June 2020",Past Tango Marathon
Midsummer Tango Fusion 2020 Finland,"Terälahti, Finland","Thursday, 25 June 2020 - Monday, 29 June 2020",Past Tango Marathon
Medieval Tango Retreat,"Three Hills, Canada","Thursday, 25 June 2020 - Sunday, 28 June 2020",Past Tango Weekend / Festivalito
Catania Summer Tango Week 2020,"Catania, Italy","Tuesday, 23 June 2020 - Monday, 29 June 2020",Past Tango Festival
Madrid Tango Marathon TangoMAD 2020 3th Edition,"Madrid, Spain","Friday, 19 June 2020 - Sunday, 21 June 2020",Past Tango Marathon
Benidorm Summer Tango Weekend,"Benidorm, Spain","Friday, 19 June 2020 - Sunday, 21 June 2020",Past Tango Encuentro
La Roca Intensive Masterclass weekend for teachers,"Amersfoort, Netherlands","Friday, 19 June 2020 - Sunday, 21 June 2020",Past Tango Weekend / Festivalito
Istanbul Tango Fiesta,"İstanbul, Turkey","Thursday, 18 June 2020 - Monday, 22 June 2020",Past Tango Festival
"Stretch-tango - koretktivno vjezbanje, corrective exercise","Zagreb, Croatia","Tuesday, 16 June 2020 - Friday, 10 July 2020",Past Uncategorised Tango Event
EPIC Tango Marathon in Stockholm - 2nd Edition,"Stockholm, Sweden","Thursday, 11 June 2020 - Monday, 15 June 2020",Past Tango Marathon
Entre Suenos Tango Marathon - June 5.6.7 Athens - Greece,"Athens, Greece","Friday, 05 June 2020 - Monday, 08 June 2020",Past Tango Marathon
Alegria Tango Marathon,"New Britain, United States","Thursday, 04 June 2020 - Sunday, 07 June 2020",Past Tango Marathon
Lisbon Tango Festival 2020,"Lisboa, Portugal","Wednesday, 03 June 2020 - Sunday, 07 June 2020",Past Tango Festival
Summer Tango Treat - Italian Holidays Edition 2020,"Praia A Mare, Italy","Monday, 01 June 2020 - Sunday, 07 June 2020",Past Uncategorised Tango Event
Una Emocion Tango Festival - CANCELLED,"Barcelona, Spain","Friday, 29 May 2020 - Sunday, 31 May 2020",Past Tango Festival
Rock it Tango Weekend in Moldova,"Chisinau, Moldova","Friday, 29 May 2020 - Sunday, 31 May 2020",Past Tango Festival
The Big Apple Tangothon 2020 in New York City,"New York, United States","Friday, 29 May 2020 - Monday, 01 June 2020",Past Tango Marathon
Maratona Tango Piccante VI Hawaiian Edition,"Praia a Mare, Italy","Friday, 29 May 2020 - Tuesday, 02 June 2020",Past Tango Marathon
TOSSA DE MAR TANGO MEETING,"Tossa de Mar, Spain","Friday, 29 May 2020 - Monday, 01 June 2020",Past Tango Weekend / Festivalito
TangoRegatta Estival 2020,"Neptun, Romania","Friday, 29 May 2020 - Monday, 01 June 2020",Past Tango Weekend / Festivalito
Karlsruhe International Tango Festival,"Karlsruhe, Germany","Thursday, 28 May 2020 - Monday, 01 June 2020",Past Tango Festival
III ANNUAL WORKSHOPS AND MILONGAS,"Valencia, Spain","Thursday, 28 May 2020 - Sunday, 31 May 2020",Past Tango Festival
SPQR Tango Marathon Roma,"Roma, Italy","Thursday, 28 May 2020 - Sunday, 31 May 2020",Past Tango Marathon
4th Caliente Tango Marathon Antalya,"Antalya, Turkey","Thursday, 28 May 2020 - Monday, 01 June 2020",Past Tango Marathon
Embrace Berlin,"Berlin, Germany","Tuesday, 26 May 2020 - Monday, 01 June 2020",Past Tango Festival
Embrace Festival Berlin Tango University with Horacio Godoy - CANCELLED,"Berlin, Germany","Tuesday, 26 May 2020 - Sunday, 31 May 2020",Past Tango Seminar / Workshops
10th Anniversary Philly Tango Festival,"Philadelphia, United States","Friday, 22 May 2020 - Monday, 25 May 2020",Past Tango Festival
The Virtual Tango Festival,"Philadelphia, United States","Friday, 22 May 2020 - Monday, 25 May 2020",Past Tango Festival
3 May Tango Festival 2020,"Zabrze, Poland","Thursday, 21 May 2020 - Sunday, 24 May 2020",Past Tango Festival
