title,location,date,event_type
 Tango argentino seminar 2in1,"Zagreb, Croatia","Saturday, 28 November 2020 - Sunday, 29 November 2020",Past Tango Seminar / Workshops
 Special Tango Argentino seminar - Earthing,"Zagreb, Croatia","Saturday, 21 November 2020 - Sunday, 22 November 2020",Past Tango Seminar / Workshops
 FRENCH RIVIERA TANGO MEETING,"Théoule-sur-Mer, France","Thursday, 19 November 2020 - Sunday, 22 November 2020",Past Tango Seminar / Workshops
 Seminar Tango Argentino,"Zagreb, Croatia","Saturday, 14 November 2020 - Sunday, 15 November 2020",Past Tango Seminar / Workshops
 BA and Beach Tango Immersion,"Buenos Aires, Argentina","Thursday, 12 November 2020 - Sunday, 22 November 2020",Past Uncategorised Tango Event
 Izvanredni termin - Dobro jutro uz Jelenu i Tango,"Zagreb, Croatia","Wednesday, 11 November 2020 - Thursday, 12 November 2020",Past Uncategorised Tango Event
 Tango Dancing In Africa,"Mombasa, Kenya","Sunday, 08 November 2020 - Saturday, 21 November 2020",Past Uncategorised Tango Event
 Tango Argentino seminar,"Zagreb, Croatia","Saturday, 07 November 2020 - Sunday, 08 November 2020",Past Tango Seminar / Workshops
 La Sorpresa III edition,"Nuremberg, Germany","Friday, 06 November 2020 - Sunday, 08 November 2020",Past Tango Marathon
 Tango Marathon Paradiso,"Ludwigshafen, Germany","Friday, 06 November 2020 - Sunday, 08 November 2020",Past Tango Marathon
 11th Athens Tango Marathon,"Athens, Greece","Friday, 06 November 2020 - Sunday, 08 November 2020",Past Tango Marathon
 TangoZauber 2020 - Polarlight Edition,"Bayreuth, Germany","Friday, 06 November 2020 - Sunday, 08 November 2020",Past Tango Weekend / Festivalito
 Otono en Palermo Tango Festival  Marathon III ed,"Palermo, Italy","Thursday, 05 November 2020 - Sunday, 08 November 2020",Past Tango Festival
 TimeforTango Festival 2020 - 11th Edition,"Municipality of Dobrna, Slovenia","Thursday, 29 October 2020 - Sunday, 01 November 2020",Past Tango Festival
 MILONGUERO MILONGUERO,"Calp, Spain","Thursday, 29 October 2020 - Sunday, 01 November 2020",Past Tango Encuentro
 TangoNeta Catalunya,"Santa Maria d'Oló, Spain","Wednesday, 28 October 2020 - Sunday, 01 November 2020",Past Tango Encuentro
 PokreTTango plesna rekreacija ujutro,"Zagreb, Croatia","Tuesday, 27 October 2020 - Thursday, 19 November 2020",Past Tango Seminar / Workshops
 Dobro jutro uz Jelenu i tango 8,"Zagreb, Croatia","Monday, 26 October 2020 - Tuesday, 27 October 2020",Past Uncategorised Tango Event
 PORQUEROLLES TANGO,"Hyères, France","Sunday, 25 October 2020 - Saturday, 31 October 2020",Past Tango Seminar / Workshops
 SEMINAR FOLLOWER U TANGO ARGENTINU,"Zagreb, Croatia","Saturday, 24 October 2020 - Saturday, 14 November 2020",Past Tango Seminar / Workshops
 LE LAC TANGO,"Chorges, France","Saturday, 17 October 2020 - Saturday, 24 October 2020",Past Tango Seminar / Workshops
 Double Role International Congress - Cancelled,"Santa Susanna, Spain","Thursday, 15 October 2020 - Sunday, 18 October 2020",Past Tango Festival
 Tecaj Tango Argentino za apsolutne pocetnike,"Zagreb, Croatia","Sunday, 11 October 2020 - Sunday, 01 November 2020",Past Tango Seminar / Workshops
 Tango Festival Groningen 2020 - CANCELLED,"Groningen, Netherlands","Friday, 09 October 2020 - Sunday, 11 October 2020",Past Tango Festival
 TANGO MEGATRIP AND SPA TO GREECE IV,"Paralia, Greece","Friday, 09 October 2020 - Sunday, 11 October 2020",Past Tango Weekend / Festivalito
 Encuentro Tango 2020 -CANCELLED-,"Castelo Branco, Portugal","Thursday, 08 October 2020 - Sunday, 11 October 2020",Past Tango Festival
 Korektivno vjezbanje Stretch - tango,"Zagreb, Croatia","Tuesday, 06 October 2020 - Tuesday, 27 October 2020",Past Tango Seminar / Workshops
