first_dancer,second_dancer
Maria Filali,Gianpiero Galdi
Cecilia Acosta,Levan Gomelauri
Martin Carrara,Stefania Colina
Nadezhda Romanova,Dmitry Balaev
Horacio Godoy,Cecilia Berra
Ines Bogado,Jorge Lopez
Rocio Lequio,Bruno Tombari
Maude Andrey,Onur Gumrukcu
Mimi Hirsch,Jorge Firpo
Martin Carrara,Stefania Colina
Isabelle Rune,Emiliano Alcaraz
Maria Filali,Gianpiero Galdi
Manuela Rossi,Juan Malizia
la Cruz,Paola Sanz
Maude Andrey,Onur Gumrukcu
Griselda Duarte,Nicolas di
Mariela Sametband,Guille Barrionuevo
Laia Barrera,Diogo de
Nick Jones,"Diana Cruz,"
Alejandra Heredia,Mariano Otero
Lorena Tarantino,Giovanni Cocomero
Virginia Gomez,Christian Marquez
Maude Andrey,Onur Gumrukcu
Celeste Medina,Andres Sautel
Stephanie Fesneau,Fausto Carpino
Vanesa Villalba,Facundo Pinero
Corina Herrera,Pablo Rodriguez
Carlitos Espinoza,Noelia Hurtado
Chicho Frumboli,Juana Sepulveda
Maria Filali,Gianpiero Galdi
Ines Bogado,Orlando Reyes
Patrycja Cisowska,Jakub Grzybek
Natacha Lockwood,Andres Molina
Natalia Molokova,Yury Shtykin
Sabrina Masso,Federico Naveira
Karina Colmeiro,Maximiliano Cristiani
Maria Filali,Gianpiero Galdi
Horacio Godoy,Cecilia Berra
Eva Stefanakou,Nikita Gerdt
Est Là,Danilo Maddalena
Ariadna Naveira,Fernando Sanchez
Maria Filali,Gianpiero Galdi
Marina Hoffman,Gabor Novak
Patrycja Cisowska,Jakub Grzybek
Patricia Hilliges,Matteo Panero
la Cruz,Paola Sanz
"""Chicho"" Frúmboli",Juana Sepulveda
Carolina Bonaventura,Martin Ojeda
Virginia Vasconi,Julio Balmaceda
Horacio Godoy,Cecilia Berra
Martin Carrara,Stefania Colina
Clarisa Aragon,Jonathan Saavedra
Chicho Frumboli,Juana Sepulveda
Eleonora Kalganova,Michael Nadtochi
Clarisa Aragon,Jonathan Saavedra
Celeste Medina,Andres Sautel
Virginia Vasconi,Julio Balmaceda
Clarisa Aragon,Jonathan Saavedra
Zeynep Aktar,Sercan Yigit
Carolina Bonaventura,Martin Ojeda
Manuela Rossi,Juan Malizia
Michelle Marsidi,Joachim Dietiker
Alejandra Heredia,Mariano Otero
Corina Herrera,Pablo Rodriguez
Vanesa Villalba,Facundo Pinero
Juliana Aparicio,Santiago Hernandez
Sofia Saborido,Pablo Inza
Noelia Hurtado,Carlitos Espinoza
Martin Carrara,Stefania Colina
Magdalena Myszka,Lukasz Wisniewski
Sophia Paul,Julio Cesar
Eva Icikson,Brenno Marques
Paula Tejeda,Lucas Carrizo
Haris Mihail,Malika Pitou
Martin Carrara,Stefania Colina
Virginia Gomez,Christian Marquez
Eva Stefanakou,Nikita Gerdt
Bianca Laudacescu,Silviu Gusat
Magdalena Myszka,Ariel Taritolay
Horacio Godoy,Cecilia Berra
Fatima Vitale,Mario De
Cristina Sosa,Daniel Nacucchio
Noelia Hurtado,Carlitos Espinoza
Sabrina Masso,Federico Naveira
Ariadna Naveira,Fernando Sanchez
Ariadna Naveira,Fernando Sanchez
Noelia Hurtado,Carlitos Espinoza
Serena Alvarado,Alonso Alvarez
Noelia Hurtado,Carlitos Espinoza
Soledad Larretapia,Octavio Fernandez
Noelia Hurtado,Carlitos Espinoza
Pepito Avellaneda,Suzuki de
Gaston Torelli,Mariana Dragone
Ines Bogado,Jorge Lopez
Roxana Suarez,Sebastian Achaval
Horacio Godoy,Cecilia Berra
Rorick Smith,Eric Lindgren
Noelia Hurtado,Carlitos Espinoza
Stephanie Fesneau,Fausto Carpino
Celeste Medina,Andres Sautel
Sagdiana Hamzina,Dmitry Vasin
Carlitos Espinoza,Noelia Hurtado
Daiana Guspero,Miguel Angel
Corina Herrera,Pablo Rodriguez
Mimi Hirsch,Jorge Firpo
Natacha Lockwood,Andres Molina
Gonzalez Cattaneo,Gaston Camejo
Ines Bogado,Sebastian Jimenez
Sabrina Masso,Federico Naveira
Rorick Smith,Eric Lindgren
"""Chicho"" Frúmboli","Juana Sepulveda,"
Gianpiero Galdi,Maria Filali
Cristina Sosa,Daniel Nacucchio
Noelia Hurtado,Carlitos Espinoza
Ariadna Naveira,Fernando Sanchez
Gisela Passi,Rodrigo Rufino
Ines Muzzopappa,Alejandro Hermida
Noelia Hurtado,Carlitos Espinoza
Lorena Tarantino,Gianpiero Galdi
Silvana Anfossi,Felix Naschke
"""Chicho"" Frúmboli","Juana Sepulveda,"
Giovanni Cocomero,Lorena Tarantino
Zeynep Aktar,Sercan Yigit
Ines Bogado,Jorge Lopez
Dana Frigoli,Adrian Ferreyra
Mariana Patsarika,Dimitris Biskas
Ines Bogado,Jorge Lopez
Sara Grdan,Ivan Terrazas
Silvana Anfossi,Felix Naschke
Paula Tejeda,Lucas Carrizo
Magdalena Myszka,Ariel Taritolay
Griselda Duarte,Nicolas di
Claudia Grava,Martin Birnbaumer
Stephanie Fesneau,Fausto Carpino
Fatima Vitale,Javier Rodriguez
Rorick Smith,Michael Watson
Vanesa Villalba,Facundo Pinero
Fatima Vitale,Mario De
Martin Carrara,Stefania Colina
Vanesa Villalba,Facundo Pinero
Martin Carrara,Stefania Colina
Cristina Sosa,Daniel Nacucchio
Horacio Godoy,Cecilia Berra
Ines Bogado,Orlando Reyes
Horacio Godoy,Cecilia Berra
Vanesa Villalba,Facundo Pinero
Dominic Bridge,Rosalia Delfina
Gaston Torelli,Moira Castellano
Marina Teves,Rodrigo Videla
Daniela Barria,Julian Vilardo
Sophia Paul,Julio Cesar
Maria Filali,Gianpiero Galdi
Luna Palacios,Javier Rodriguez
Ines Bogado,Sebastian Jimenez
Mariela Sametband,Guille Barrionuevo
Delia Dragut,Martin Lutsch
Maude Andrey,Onur Gumrukcu
Celeste Medina,Andres Sautel
Ariadna Naveira,Fernando Sanchez
Tilia Kimm,Adam Cornett
Cristina Sosa,Daniel Nacucchio
Maja Petrovic,Marko Miljevic
Sophia Paul,Julio Cesar
Cecilia Acosta,Levan Gomelauri
Patrycja Cisowska,Jakub Grzybek
Griselda Duarte,Nicolas di
Sara Grdan,Ivan Terrazas
Zeynep Aktar,Sercan Yigit
Sofia Saborido,Pablo Inza –
Molina Gazcon,Judit Somos
Clarisa Aragon,Jonathan Saavedra
Ines Bogado,Jorge Lopez
Ewa Wojtkiewicz,Piotr Roemer
Camila Alegre,Ezequiel Lopez
Stefano Giudice,Marcela Guevara
Chicho Frumboli,Juana Sepulveda
Clarisa Aragon,Jonathan Saavedra
Horacio Godoy,Cecilia Berra
Sebastian Arce,Mariana Montes
Noelia Hurtado,Carlitos Espinoza
Graciela Gonzalez,Leonardo Sardella
Noelia Hurtado,Carlitos Espinoza
Silvana Anfossi,Alejandro Hermida
Fabian Peralta,Josefina Bermudez
Maria Tsiatsiani,Leandro Palou
Yanina Quiñones,Neri Piliu
Jorge Torres,Maria Blanco
Lina Chan,Bulent Karabagli
Brigita,Carlos Rodriguez
Gabriela Fernandez,Fernando Galera
Sara Grdan,Ivan Terrazas
Maja Petrovic,Marko Miljevic
Stephanie Fesneau,Fausto Carpino
Joana Gomes,Sebastian Jimenez
Lorena Tarantino,Giovanni Cocomero
Stephanie Fesneau,Fausto Carpino
Aluminé Deluchi,Ariel Almiron
Virginia Gomez,Christian Marquez
Cecilia Piccinni,Ricardo Biggeri
Martin Carrara,Stefania Colina
Daiana Pujol,Lucian Stan
Patricia Hilliges,Matteo Panero
Ariadna Naveira,Fernando Sanchez
Joanna Jabłońska,Piotr Bochiński
Stephanie Fesneau,Fausto Carpino
Susanne Opitz,Rafael Busch
Magdalena Gutierrez,Germán Ballejo
Chicho Frumboli,Juana Sepulveda
Fausto Carpino,Stephanie Fesneau
Sonja Bruyninckx,Sven Breynaert
Zeynep Aktar,Sercan Yigit
Mary Ziloti,Chris Bakopoulos
Delia Dragut,Martin Lutsch
Diana Cruz,Nick Jones
Sabrina Masso,Federico Naveira
Fabian Peralta,Josefina Bermudez
Patrycja Cisowska,Jakub Grzybek
Kara Wenham,Dominic Bridge
Magdalena Gutierrez,Germán Ballejo
Dana Frigoli,Adrian Ferreyra
Cyrena Drusine,Steinar Refsdal
Fabian Peralta,Josefina Bermudez
Ioana Lascu,Horia Călin
Silvana Anfossi,Alejandro Hermida
Cecilia Acosta,Levan Gomelauri
Cristina Sosa,Daniel Nacucchio
Joachim Dietiker,Michelle Marsidi
Joachim Dietiker,Michelle Marsidi
Fatima Vitale,Nikita Gerdt
Maria Filali,Gianpiero Galdi
Sebastian Arce,Mariana Montes
Noelia Hurtado,Carlitos Espinoza
Chicho Frumboli,Juana Sepulveda
Martin Carrara,Stefania Colina
Jorge Torres,Maria Blanco
Stephanie Fesneau,Fausto Carpino
Gabriel Angiò,Natalia Games
Gaston Torelli,Moira Castellano
Mimi Hirsch,Jorge Firpo
Maja Petrovic,Marko Miljevic
Clarisa Aragon,Jonathan Saavedra
Lina Rohde,Dominic Bridge
Ines Bogado,Roberto Zuccarino
Cecilia Acosta,Levan Gomelauri
Mariana Patsarika,Dimitris Biskas
Virginia Gomez,Christian Marquez
Julieta Questa,Rauli Choque
Vanesa Villalba,Facundo Pinero
Laia Barrera,Diogo de
Roxana Suarez,Sebastian Achaval
Eleonora Kalganova,Michael Nadtochi
Candela Ramos,Adrian Luppi
Lina Chan,Bulent Karabagli
Lina Chan,Bulent Karabagli
Martin Carrara,Stefania Colina
Mariana Dragone,Gaston Torelli
Sonja Schüssler,Özgür Arin
Sonja Bruyninckx,Sven Breynaert
Clarisa Aragon,Jonathan Saavedra
Yanina Quiñones,Neri Piliu
Cecilia Acosta,Levan Gomelauri
Ines Bogado,Roberto Zuccarino
Sofia Netertou,Ilias Anastasiou
Solana Brennan,Onur Gümrükçü
Pablo Inza,Sofia Saborido
Lorena Tarantino,Gianpiero Galdi
Anna Iberszer,Piotr Woźniak
Ines Bogado,Sebastian Jimenez
Rocio Lequio,Bruno Tombari
Camila Ameglio,Braulio Martos
la Cruz,Paola Sanz
Dilara Ogretmen,Francesco Cieschi
Virginia Gomez,Christian Marquez
"peque"" Barrionuevo",Mariela Sametband
