"id","title","channel_id","created_at","updated_at","thumbnail_url","imported","imported_videos_count","total_videos_count","yt_api_pull_count","reviewed"
1,"030tango","UCtdgMR0bmogczrZNpPaO66Q","2020-12-20 19:52:20.641637","2021-01-27 13:48:36.467825","https://yt3.ggpht.com/ytc/AAUvwnj1mJo0HVW23_29AQ1X4txDR2jtsGqVhBYpYU3g=s88-c-k-c0x00ffffff-no-rj",TRUE,2233,2233,556,TRUE
2,"Armin Mar","UC9lGGipk4wth0rDyy4419aw","2020-12-20 19:52:20.651383","2021-01-27 13:48:35.153582","https://yt3.ggpht.com/ytc/AAUvwnjGYCOkZDPgEinTJCtfCH5iwBR4w3YPVYwNOg=s88-c-k-c0x00ffffff-no-rj",TRUE,5,5,5,TRUE
3,"TangoNuevo TV","UCUKptFgKHVYM1GoQvgeDU_A","2020-12-20 19:52:20.660745","2021-01-27 13:48:38.334997","https://yt3.ggpht.com/ytc/AAUvwniZcCdLvbvZnD97D-vQDYPlYX9-kUC0joPP7GoTNg=s88-c-k-c0x00ffffff-no-rj",TRUE,381,382,365,TRUE
4,"tangostudent","UC766M5toEZ70hZCLsaxXiOw","2020-12-20 19:52:20.668943","2021-02-03 11:10:06.747874","https://yt3.ggpht.com/ytc/AAUvwnihwhC7LDQsqL55DklPaA33OP7ry7V1MHra3p2_=s88-c-k-c0x00ffffff-no-rj",TRUE,458,461,421,TRUE
5,"Tango Natural","UCOrxTg3siBOMD0XwoDKWC5A","2020-12-20 19:52:20.677461","2021-01-27 13:48:41.475534","https://yt3.ggpht.com/ytc/AAUvwnhUtRMeOgAliWPjVYpb71k-mQ1R80hme6DGdtpVnA=s88-c-k-c0x00ffffff-no-rj",TRUE,440,440,414,TRUE
6,"TC Tango","UCPSEBKNWfeUQR22qpdYAIgg","2020-12-20 19:52:20.689111","2021-01-27 13:48:35.036156","https://yt3.ggpht.com/ytc/AAUvwnhTnpGzGttsnuFHbYunRM5h1zcJzVhPn9BKG1dv=s88-c-k-c0x00ffffff-no-rj",TRUE,259,255,255,TRUE
7,"Tango Element","UC47UVQSnunEsdxqqvgeG6YA","2020-12-20 19:52:20.698639","2021-01-27 13:48:40.110179","https://yt3.ggpht.com/ytc/AAUvwnjmmBri07ntJttgN-6MF4X4D8aT_WIboRS0fNHnYg=s88-c-k-c0x00ffffff-no-rj",TRUE,118,119,118,TRUE
8,"Prischepov TV","UCCoOxQMnmwZ-jhezbLfSUgQ","2020-12-20 19:52:20.707348","2021-01-27 13:48:40.34415","https://yt3.ggpht.com/ytc/AAUvwngI4nzH-gUCXFs7d1ZYYZNVELDedRoCkYeIwWvObQ=s88-c-k-c0x00ffffff-no-rj",TRUE,4621,4631,1091,TRUE
9,"Mediterranean Summer Tango Festival","UCg-gK8tVf-evR-P976UlU9w","2020-12-20 19:52:20.715732","2021-01-27 13:48:35.166497","https://yt3.ggpht.com/ytc/AAUvwnjwDbuT3tb26S_-5qyp1AdMgKDoAv-liD8UgZ2V=s88-c-k-c0x00ffffff-no-rj",TRUE,206,206,206,TRUE
10,"Tango Cazino","UC2EyGIesuSnNx5-Kohy1PGg","2020-12-20 19:52:20.724258","2021-01-27 13:48:38.37021","https://yt3.ggpht.com/ytc/AAUvwniZzeSvrsJALZedr7xDgEWTxogbG1H9DFIWOkG7WA=s88-c-k-c0x00ffffff-no-rj",TRUE,87,88,87,TRUE
