"id","slug","title","description","channel_title","channel_id","video_count","imported","videos_id","user_id","created_at","updated_at"
1,"PL_HOpEXNpyAbAXT8wsbVq7Yja411Q2_Ax","Tango","","Justin Marsh","UChq5Pjw2tJRUA2-DT9rfC2w","200",TRUE,,,"2021-01-24 21:12:01.116881","2021-01-25 22:27:41.219909"
2,"PL_HOpEXNpyAbP0dpR-Ohjh6YklK06Juh1","youtube-dl","","Justin Marsh","UChq5Pjw2tJRUA2-DT9rfC2w","34",TRUE,,,"2021-01-24 21:12:23.120766","2021-01-25 22:28:00.408418"
3,"PLVpQEq02oKDhU9zYqyjHh2pY0wz_A0pes","Clarisa Aragon and Jonathan Saavedra on 030tango","","030tango","UCtdgMR0bmogczrZNpPaO66Q","74",TRUE,,,"2021-01-24 21:23:04.16627","2021-01-25 22:28:03.985119"
5,"PLV0SYTW4DBSKZJwJmRRMAQHJmS1bFuany","Tus labios me dirán (Di Sarli)","A list of all the performances I reviewed of ‘Tus labios me dirán’ (Carlos Di Sarli, 1945) for the section of my tango blog on my favorite performances. Please note that the videos are listed in random order. To see my favorite, go to http://www.stafforini.com/tango/?p=1780","Pablo Stafforini","UCaYdfPFz6mWBv54whKtBnpA","11",TRUE,,,"2021-01-24 21:52:51.431722","2021-01-25 22:39:38.976839"
6,"PLV0SYTW4DBSIt-3jZNwhd2KcXr3ewjBwZ","La mulateada (Di Sarli)","A list of all the performances I reviewed of 'La mulateada' (Carlos Di Sarli, 1941) for the section of my tango blog on my favorite performances. To see my favorite, go to http://www.stafforini.com/tango/?p=1085","Pablo Stafforini","UCaYdfPFz6mWBv54whKtBnpA","15",TRUE,,,"2021-01-24 21:53:36.080752","2021-01-25 22:28:12.118752"
7,"PLV0SYTW4DBSJXsAX9-cgEuOi3scV3gQw4","Alberto Podestá - Los capos del tango","","Pablo Stafforini","UCaYdfPFz6mWBv54whKtBnpA","5",TRUE,,,"2021-01-24 21:54:00.116641","2021-01-25 22:28:13.96722"
8,"PLV0SYTW4DBSIPzNItRk4pjy8B-iA6kwT9","Aníbal Troilo - Los capos del tango","","Pablo Stafforini","UCaYdfPFz6mWBv54whKtBnpA","5",TRUE,,,"2021-01-24 21:54:18.696942","2021-01-25 22:28:14.8618"
9,"PLV0SYTW4DBSKKjdmU6CtvLwHVQcse7WKV","Enrique Santos Discepolo - Los capos del tango","","Pablo Stafforini","UCaYdfPFz6mWBv54whKtBnpA","5",TRUE,,,"2021-01-24 21:54:31.578397","2021-01-25 22:28:15.852551"
10,"PLV0SYTW4DBSLoNh1feaKroY7r4R45tvHL","Francisco Canaro - Los capos del tango","","Pablo Stafforini","UCaYdfPFz6mWBv54whKtBnpA","5",TRUE,,,"2021-01-24 21:54:47.153261","2021-01-25 22:39:38.112921"
11,"PLV0SYTW4DBSIxmP8X7CxybigAHwrta9z5","Horacio Salgán - Los capos del tango","","Pablo Stafforini","UCaYdfPFz6mWBv54whKtBnpA","5",TRUE,,,"2021-01-24 21:55:06.004337","2021-01-25 22:27:37.509109"
